date,text,club_name,sentiment
2019-07-15 08:30:13+00:00,RT @leongoretzka_: 🛫🇺🇸 is calling  @FCBayern @SergeGnabry https://t.co/MMhFFL4J5t,FCBayernES,NEGATIVE
2019-04-10 20:48:44+00:00,"90. Er komt 3 minuten blessuretijd in de @cruijffarena. Come on! 👊

#UCL #ajajuv",AFCAjax,NEGATIVE
2019-01-26 12:27:46+00:00,"🔊 Valverde: ""Sabem que el Girona es troba amb molt entusiasme perquè està fent una bona trajectòria a la Lliga i a la Copa. A tots els equips els costa puntuar a Montilivi"" #GironaBarça https://t.co/NStl3TnhAO",FCBarcelona_cat,NEGATIVE
2019-04-17 07:09:07+00:00,ผ่านไปครึ่งทางของเดือนเมษายนแล้ว 👊🏻🔴 #LFCThai https://t.co/GyJLBiGnH8,ThaiLFC,NEGATIVE
2019-03-31 17:35:28+00:00,"VAAAAAAAAAI, LIVERPOOL! 🔴 https://t.co/wLkEQq9V4z",LFCBrasil,NEGATIVE
2019-05-04 15:18:05+00:00,"Goosebumps 😍

#Robben #MiaSanMia #FCBH96 https://t.co/2zRQ14SAaA",FCBayernEN,NEGATIVE
2019-03-17 17:50:15+00:00,"جماهير #البايرن خلال الشوط الأول 🤩 #بايرن_ماينتس

https://t.co/JeM20KIQnc",FCBayernAr,NEGATIVE
2019-02-24 13:07:33+00:00,"The Bianconeri arrive at the Stadio Renato Dall'Ara ☀️🏟

#BolognaJuve #ForzaJuve https://t.co/oxQqoRAmJP",juventusfcen,NEGATIVE
2019-06-11 14:02:00+00:00,"""The ones who were there every week, produced every week that, through history, become great players.""

Jan Molby speaks about our skipper and his importance. 👌",LFC,POSITIVE
2019-05-06 18:44:07+00:00,"🎙 @LuisSuarez9: ""Futbolu bilen insanlar Şampiyonlar Ligi yarı finalinde gol atmanın ne kadar değerli olduğunu anlayabilir. Camp Nou'da bu yüzden sevindim. Ama Anfield'da gol atarsam sevinmeyeceğim. Çünkü Liverpool taraftarına büyük saygım var.""
#LFCBarça https://t.co/WCXCrrOnMV",fcbarcelona_tr,NEGATIVE
2019-02-15 13:15:51+00:00,"😄🥰

https://t.co/WV4yhumgsx",LFC_Arabic,NEGATIVE
2019-04-16 21:40:07+00:00,"🙌  Semifinal!
🎨 #WeColorFootball
🔵🔴 Força Barça! https://t.co/3z1E0STGC4",fcbarcelona_id,NEGATIVE
2019-01-13 15:38:07+00:00,"Let's do this 👌

(1') #TelekomCup #packmas 0-0 https://t.co/I62dFoctk1",FCBayernEN,NEGATIVE
2019-06-04 21:00:00+00:00,Pode acreditar. ❤️ https://t.co/JNoFzknCr5,LFCBrasil,NEGATIVE
2017-10-07 17:01:16+00:00,"Re-live #JuventusWomen's win over Res Roma in their first ever Serie A home match 💪🏠⚫️⚪️

📸 ➡️ https://t.co/KYhJ9wPlc3 

#JuveResRoma https://t.co/dgGzB9txVK",JuventusFCWomen,NEGATIVE
2019-02-22 16:41:37+00:00,RT @FAF_91: @acmilanar 🇪🇬🇮🇹,acmilanar,NEGATIVE
2019-06-03 07:32:06+00:00,😁😁 About yesterday... https://t.co/oizH1nWNGw,LFC,NEGATIVE
2019-04-14 12:20:25+00:00,"Today's starting XI is in! 📋

#F95FCB #packmas https://t.co/mURbS9p6RO",FCBayernEN,NEGATIVE
2019-07-14 16:52:47+00:00,"RT @LFC: Stephen Darby and @chrisrimmerMND. A true inspiration to all. 

Today was about much more than football. ❤️ https://t.co/398kB9iNY2",LFCUSA,POSITIVE
2017-12-27 16:04:19+00:00,RT @jtv212: Alle 18 su Juventus TV ripercorriamo la grande stagione della @JuventusFCWomen in compagnia di coach @ritaguari! 🏳️🏴 https://t.…,JuventusFCWomen,NEGATIVE
2019-01-18 20:01:18+00:00,🔈🔉🔊 #FCBayern #TSGFCB https://t.co/rppLbsqyhz,FCBayern_FB,NEGATIVE
2019-04-06 21:21:29+00:00,❤️ @FCBerni12 @chaco_81 ❤️ https://t.co/RyH4BLgNjx,FCBayernES,NEGATIVE
2019-03-09 00:00:09+00:00,«Con confianza para el martes». Las palabras 🎙 de Mister #Allegri 👉🏻 https://t.co/iuE4yDYp3g  #JuveUdinese https://t.co/YLdYaTpp4C,juventusfces,NEGATIVE
2019-04-17 20:40:09+00:00,"นาที 78: ปอร์โต้เปลี่ยนตัวเพิ่ม

↩️ เชซุส
🔛 อันดราเด้

[1-3] #LFCThai",ThaiLFC,NEGATIVE
2018-12-16 19:46:17+00:00,"📍 Bola rolando em Valência! 🔝
⚽️ #LevanteBarça (0-0)
🏆 @LaLiga 

💪 #ForçaBarça 🔵🔴 https://t.co/5d39cjx7sY",fcbarcelona_br,NEGATIVE
2019-03-29 23:30:00+00:00,"Pasado.
Presente.
Futuro.

Conexión francesa. 🇫🇷

#MiaSanMia #FCBayern https://t.co/DVcT2w1ekM",FCBayernES,NEGATIVE
2019-05-20 22:10:04+00:00,"Happy Birthday to Mr. No Good, @MarioMandzukic9! 🎉🌪

➡️https://t.co/0iJoQcp8rE

#ForzaJuve https://t.co/r1UafF62YH",juventusfcen,NEGATIVE
2019-02-24 10:00:17+00:00,"175 partidos en 6 temporadas en la Juve. ¡Feliz cumpleaños, Bruno Nicolè! 🎂 https://t.co/UUGKE7YP9v",juventusfces,NEGATIVE
2019-04-06 20:56:54+00:00,"🗣 O técnico Gattuso e Pepe Reina falaram sobre a derrota em Turim ao fim do jogo. Leiam 👉🏼 https://t.co/bvKYd2aPB0

#JuveMilan 2️⃣-1️⃣
#ForzaMilan 🔴⚫️ https://t.co/X8ssH1OsHm",acmilanbr,NEGATIVE
